"Y","bonf","permutation_threshold","hits_bonf","hits_perm","shapiro.test"
"Y1",1.83867603557912e-08,2.85130864917082e-07,0,1,0.350373593624091
"Y10",1.84012412741314e-08,1.87034140685998e-07,0,0,0.00602148453209712
"Y100",1.89475614867318e-08,2.6483544211589e-12,218,4,1.95506251307826e-14
"Y101",1.95920849544151e-08,3.01701674157236e-07,0,0,0.0954472186520968
"Y102",1.83294132828126e-08,1.06145220251807e-10,448,118,9.53610603551263e-20
"Y103",1.84012412741314e-08,7.19673710890341e-15,246,0,2.16855001205372e-14
"Y104",1.84983895302075e-08,1.21389646745196e-15,650,0,2.86827029307764e-16
"Y105",1.95920849544151e-08,2.52616648244384e-07,0,0,0.52122701940735
"Y106",1.96021008747634e-08,3.45085282960067e-09,0,0,3.21301981923799e-08
"Y107",1.84012412741314e-08,3.98349929419084e-10,0,0,3.16788132076449e-08
"Y108",1.79414677555942e-08,1.054855757064e-07,0,0,0.0229263435773258
"Y109",1.7974387217191e-08,8.74960893155181e-09,0,0,0.00797398452315632
"Y11",1.84921432431003e-08,8.30423043016708e-10,373,105,1.79800327921856e-16
"Y110",1.79867243584855e-08,1.16636233024877e-07,18,84,1.30156675389168e-15
"Y111",1.79920899575711e-08,2.20582147321316e-10,1,0,7.02678379066866e-07
"Y112",1.79381721433102e-08,7.81688062935676e-08,0,0,0.339160936666991
"Y113",1.80239870429162e-08,5.02557573707107e-16,668,5,2.50988035060949e-21
"Y114",1.83217161438504e-08,1.99184460517577e-10,0,0,1.29865428041718e-10
"Y115",1.79495832106778e-08,9.29459704910931e-08,3,5,5.36058023834346e-06
"Y116",1.79354052791789e-08,2.84357660910432e-10,75,11,4.59823778428978e-16
"Y117",1.80245198358038e-08,1.85522889425052e-16,646,0,5.47231743002706e-21
"Y118",1.79351286397102e-08,3.62201843416129e-13,71,0,2.74059351180741e-18
"Y119",1.79343052052886e-08,1.25442927159862e-10,21,2,2.36927755995254e-13
"Y12",1.83934566381617e-08,4.01308755905968e-07,0,0,4.2603993371945e-19
"Y120",1.80253320806929e-08,2.2889880131609e-24,1574,0,6.8164478125059e-24
"Y121",1.79346911807591e-08,2.54534604551905e-10,233,21,3.64429804411146e-24
"Y122",1.82986366783729e-08,5.155261475108e-09,0,0,1.67878206408083e-07
"Y123",1.79488099938974e-08,7.96516802399189e-08,120,154,4.01795688769007e-18
"Y124",1.80166481035136e-08,1.31483826451642e-07,0,1,3.19263690626048e-05
"Y125",1.79344660263823e-08,1.9384093090118e-10,18,3,2.26209123450136e-13
"Y126",1.80245198358038e-08,5.69319481405227e-11,389,7,1.34682108080713e-13
"Y1267",1.92566397856813e-08,2.53806810859085e-33,6642,7,3.04877092617928e-23
"Y1268",1.92566397856813e-08,5.35219286372931e-22,1551,0,1.3574234237669e-20
"Y1269",1.92566397856813e-08,5.78903849643208e-26,1956,0,1.05065093635672e-21
"Y127",1.79769399005731e-08,6.38641905189728e-08,2,2,2.07197428641889e-08
"Y1270",1.92566397856813e-08,2.21967496652235e-17,3224,29,1.66136171668065e-15
"Y1271",1.92566397856813e-08,4.47989417539217e-08,0,1,0.00354953615601082
"Y1272",1.92566397856813e-08,3.35167533032705e-14,38,0,4.2942619509419e-13
"Y1273",1.92566397856813e-08,2.47381558823579e-07,0,3,0.00356677644170743
"Y1274",1.89918661635595e-08,2.47879022275498e-20,1036,1,1.14295363837371e-22
"Y1275",1.89918661635595e-08,4.0888486414532e-40,5300,7,8.20617894579091e-24
"Y1276",1.89918661635595e-08,3.50298656243343e-41,7108,0,4.51733742225156e-24
"Y1277",1.89918661635595e-08,8.4940859648724e-13,98,0,1.14352427367803e-11
"Y1278",1.89918661635595e-08,3.0921257075294e-08,0,0,0.00222973474640544
"Y1279",1.89918661635595e-08,1.15262459788423e-16,23,0,2.61861467507096e-13
"Y128",1.79364411446176e-08,9.03148328151552e-08,0,0,0.0208621056765309
"Y1280",1.89918661635595e-08,1.03916933519964e-07,0,0,0.106972343965865
"Y1281",1.92566397856813e-08,3.62168421100271e-26,4407,0,1.83172713541494e-22
"Y1282",1.92566397856813e-08,2.1031960003129e-16,39,0,9.52653342347805e-20
"Y1283",1.92566397856813e-08,1.52662680103371e-31,5146,0,2.1488502589457e-22
"Y1284",1.92566397856813e-08,1.16923410270203e-15,2593,29,1.83856194344544e-14
"Y1285",1.92566397856813e-08,7.87257582571263e-09,3,0,0.000319579069924533
"Y1286",1.92644004282862e-08,1.46774089800307e-21,1529,0,5.93206915175412e-18
"Y1287",1.92644004282862e-08,3.10881730169762e-08,0,0,0.000426951410133006
"Y1288",1.89918661635595e-08,2.50274852625562e-22,1769,0,1.80965284311891e-22
"Y1289",1.89918661635595e-08,5.03531322033621e-28,3011,1,2.33879641198353e-22
"Y129",1.79354052791789e-08,4.17728940418141e-11,117,3,1.37989956646765e-24
"Y1290",1.89918661635595e-08,3.2625043391935e-31,6462,751,2.22287706069777e-23
"Y1291",1.89918661635595e-08,3.56728822511196e-12,103,0,3.99313230101876e-12
"Y1292",1.89918661635595e-08,9.17037082146449e-08,0,0,0.0280235643807804
"Y1293",1.89918661635595e-08,4.34920008412876e-21,1199,0,1.08077350898472e-16
"Y1294",1.89918661635595e-08,8.78336145124354e-10,0,0,5.80083483689155e-06
"Y13",1.95920849544151e-08,4.84858274848956e-08,0,0,0.00323146586429638
"Y130",1.80245198358038e-08,1.17035216836847e-17,1652,18,5.32412506383577e-26
"Y1307",1.84118525195884e-08,9.38123794706376e-08,0,0,4.12453212568023e-05
"Y1308",1.84118525195884e-08,2.67695279691984e-10,0,0,3.46679674450343e-13
"Y1309",1.84154601471027e-08,4.47293669732365e-09,1,0,1.23229716270542e-12
"Y131",1.79357140961082e-08,7.07712556908266e-08,0,0,0.0588779611538088
"Y1310",1.84254291558832e-08,3.66062689477064e-07,0,4,0.00298099536031227
"Y1311",1.90690344813909e-08,4.79926885315288e-08,0,0,0.152931411153485
"Y1312",1.91224698582069e-08,2.3739792477576e-10,0,0,2.09013979871498e-07
"Y1313",1.90690344813909e-08,5.92133813616193e-08,0,0,0.319100908233454
"Y1314",1.90321178407834e-08,4.77874839884782e-16,223,0,1.88913696499925e-10
"Y1315",1.91224698582069e-08,7.95165224825736e-09,0,0,1.1717546773703e-07
"Y1316",1.91224698582069e-08,8.82694219630028e-11,39,0,1.66959773911195e-11
"Y1317",1.90690344813909e-08,2.01617508654681e-07,0,0,0.0474617201597046
"Y132",1.80239870429162e-08,1.67423492541487e-11,391,6,1.09287544737031e-13
"Y133",1.80606019887613e-08,3.83002490949487e-08,0,0,0.00140902118263458
"Y134",1.79349678067328e-08,8.03667950201462e-12,415,4,1.23970464767416e-22
"Y135",1.79839619027751e-08,1.13029601243065e-07,0,0,0.585997749947265
"Y136",1.80247992397861e-08,4.15875928145787e-15,1198,51,2.30336397879762e-24
"Y137",1.79404892443179e-08,1.80076217065218e-07,0,1,3.62895766825321e-06
"Y138",1.81945543698771e-08,1.33681185627081e-07,0,0,0.483210906293145
"Y1388",1.84358847860442e-08,4.75322152080228e-07,0,0,0.088458886182475
"Y1389",1.84358847860442e-08,1.48377482256068e-07,0,0,0.820565217097414
"Y139",1.80163429850486e-08,1.42245668887607e-08,0,0,2.24090909273474e-06
"Y1390",1.93765779800693e-08,2.89440518808267e-07,0,3,0.181549144736543
"Y1391",1.85856678480956e-08,1.22075779663558e-21,668,0,1.49550677828644e-20
"Y1392",1.85863518188232e-08,1.60695552771143e-09,0,0,5.96197341264526e-06
"Y1393",1.85863518188232e-08,7.50654255926871e-18,114,0,1.55632222571471e-16
"Y1394",1.85863518188232e-08,5.88873244678113e-11,0,0,2.79566392457062e-07
"Y1395",1.85863518188232e-08,2.77418913192434e-26,913,0,1.29506262586668e-18
"Y1396",1.85898968372265e-08,8.86264662469835e-27,619,0,7.79832771865227e-21
"Y1397",1.88155179855655e-08,7.09177134313721e-58,7914,0,1.97284939335893e-24
"Y1398",2.02486698648766e-08,1.54013870685555e-20,3193,0,8.59237800264336e-15
"Y1399",1.95702529024642e-08,1.01327135684396e-39,7890,0,7.3645632687655e-19
"Y14",1.83950739463578e-08,4.79084427518631e-08,0,0,0.00732337344188826
"Y140",1.79346911807591e-08,3.30294048058995e-10,233,175,3.4321099301337e-26
"Y1400",1.85863518188232e-08,4.19055529103762e-13,308,0,8.11363083837875e-11
"Y1401",1.85863518188232e-08,8.07296640412964e-28,922,0,1.93143668065412e-17
"Y1402",1.85863518188232e-08,6.38385341589905e-62,5664,1,1.16108009215378e-24
"Y141",1.80239870429162e-08,7.42038895263318e-11,386,8,4.76380847565283e-21
"Y142",1.8591894528926e-08,6.98029704161762e-08,0,0,3.07553888124962e-05
"Y143",1.8591894528926e-08,1.79364046481027e-07,0,0,5.35336177691365e-05
"Y144",1.77847715403817e-08,3.4452426811004e-09,835,620,1.71499461296807e-22
"Y145",1.77847715403817e-08,4.8695306393703e-09,603,527,5.06681388100771e-19
"Y146",1.77847715403817e-08,1.66446201723718e-08,834,831,1.50527399208367e-23
"Y15",1.90899004499871e-08,6.47365236462217e-09,1,1,3.19871700707329e-12
"Y16",1.95518864051041e-08,4.58796796140213e-08,26,28,4.36714449934645e-15
"Y17",1.98326992819373e-08,4.77287801104674e-08,53,61,7.07131180059748e-14
"Y18",1.83941062340569e-08,2.19581018205070e-11,855,0,5.53685068398364e-10
"Y19",1.83934566381617e-08,1.41255275888928e-07,0,0,9.74193614694277e-20
"Y2",1.84012412741314e-08,1.54164809918825e-07,0,0,0.01210012042394
"Y20",1.90899004499871e-08,1.28423047673691e-12,43,0,1.98930548417394e-16
"Y21",1.84012412741314e-08,3.30996343324982e-08,0,0,0.000849066141481387
"Y22",1.95920849544151e-08,2.24919302092851e-09,4,0,0.00159952154166552
"Y23",1.95518864051041e-08,7.32307487527665e-08,0,0,0.00223640856830542
"Y24",1.95920849544151e-08,6.11269933841138e-07,0,0,0.34636157756635
"Y25",1.95518864051041e-08,3.1368527384552e-07,0,0,0.00973202804395706
"Y26",1.83992166349526e-08,1.21642513452521e-07,0,0,0.16536175239828
"Y261",1.77559340331539e-08,4.73134557890066e-09,45,22,5.06746725353066e-18
"Y262",1.77559340331539e-08,4.91050691623895e-08,19,25,1.34661637703741e-18
"Y269",1.80317091211237e-08,2.97494793263228e-08,0,0,0.175808071612851
"Y27",1.90899004499871e-08,4.00563958073646e-07,0,2,5.80719988700747e-09
"Y270",1.80317091211237e-08,4.83781825278984e-08,0,0,0.0674695651716356
"Y271",1.80317091211237e-08,2.40750965384208e-20,464,25,4.9406200331211e-24
"Y272",1.80317091211237e-08,4.29501914532616e-09,0,0,0.00135468387618308
"Y273",1.80317091211237e-08,7.00088851520903e-10,0,0,0.000376277136876143
"Y274",1.80317091211237e-08,4.50655743029196e-09,93,85,8.17832268344454e-06
"Y275",1.80317091211237e-08,8.33800810863882e-09,0,0,0.0147365666746398
"Y276",1.80317091211237e-08,6.28138542167637e-08,0,0,0.743565840587879
"Y277",1.80317091211237e-08,8.6195056814049e-09,0,0,0.000110028829044916
"Y278",1.80317091211237e-08,5.05898935788367e-08,0,0,0.676538418784514
"Y279",1.80317091211237e-08,1.50387807901415e-19,448,2,3.94266646567968e-19
"Y28",1.95518864051041e-08,8.0973746375814e-17,3314,245,4.46129334541947e-19
"Y280",1.80317091211237e-08,7.99632695981347e-08,0,0,0.762982924972383
"Y281",1.80317091211237e-08,1.0103107182921e-09,5,0,9.7620022497657e-05
"Y282",1.80317091211237e-08,2.48112730408165e-13,33,0,1.98756001656012e-11
"Y283",1.80317091211237e-08,1.96367622769351e-38,2426,64,7.48478061877578e-25
"Y284",1.80317091211237e-08,5.55110015096595e-12,141,0,6.49369473692993e-08
"Y285",1.80317091211237e-08,1.39510549002689e-08,0,0,0.0371133798506995
"Y286",1.80317091211237e-08,9.81336460790487e-13,318,257,3.10633559212139e-10
"Y287",1.80317091211237e-08,9.86653230788192e-08,168,180,0.0013933493968634
"Y289",2.16203875065294e-08,6.98857516344629e-07,0,11,0.566815680337682
"Y29",1.85340184495033e-08,3.78048926302039e-14,149,0,8.0792926862989e-14
"Y290",2.16177421133072e-08,2.6404154452692e-07,0,0,0.659556859626755
"Y291",2.16225473004033e-08,2.45272129985188e-07,0,1,0.133832135026899
"Y292",2.17933104997555e-08,1.63259087895324e-07,0,0,0.0576809182173179
"Y293",2.16968687079081e-08,1.78313312698912e-07,0,0,0.0753994440864758
"Y294",2.1152363861271e-08,9.64286554199907e-07,3,78,1.20406082214771e-14
"Y3",1.83894044664921e-08,3.06563910901388e-07,0,0,6.90569602507292e-10
"Y30",1.83257385364259e-08,1.54297111201476e-13,711,1,1.69132324479441e-16
"Y31",1.83249124252435e-08,1.75531996153984e-09,9,1,7.09311145109897e-11
"Y315",2.23882635349367e-08,3.21814173321915e-08,0,0,6.47681797669544e-11
"Y316",2.23882635349367e-08,1.58039398906596e-17,1837,5,1.6913445111677e-16
"Y318",2.23882635349367e-08,4.35057005168692e-07,0,1,2.58223299133106e-09
"Y32",1.87810991525592e-08,4.48720526509329e-09,0,0,2.50959937312996e-07
"Y320",2.23882635349367e-08,6.52771022875256e-07,0,5,1.34953658373619e-09
"Y325",2.23882635349367e-08,1.44004904313712e-11,78,1,2.10548367828218e-13
"Y326",2.23882635349367e-08,2.96699827397236e-12,78,5,2.39235848358539e-14
"Y33",1.95920849544151e-08,3.37750884242929e-07,0,0,0.805079178467821
"Y34",1.84409980268132e-08,9.81283990023414e-10,80,12,2.32445591748086e-10
"Y35",1.97267139949989e-08,4.67079421350303e-07,0,0,1.96956627672326e-13
"Y352",1.84511785505787e-08,1.1971115793465e-07,0,0,0.000710308858954573
"Y353",1.84511785505787e-08,7.87993802890865e-08,0,0,0.0119254604359533
"Y354",1.84511785505787e-08,3.59909721074729e-08,0,0,0.0110468966435994
"Y355",1.84511785505787e-08,7.49950183867624e-09,6,0,0.0080192087037444
"Y356",1.84511785505787e-08,8.74802321657457e-13,955,435,2.60615992019258e-10
"Y357",1.84511785505787e-08,5.95595235508439e-08,0,0,0.00116295517657201
"Y358",1.84511785505787e-08,1.6209331516507e-11,3,0,3.65216571870466e-10
"Y359",1.84511785505787e-08,7.64081826104801e-08,0,0,0.00814470133747566
"Y36",1.84882320554144e-08,1.83800976721301e-22,4619,0,1.55434302415133e-15
"Y360",1.84511785505787e-08,2.39621396433414e-23,4047,441,1.56932369488957e-17
"Y361",1.84329146972633e-08,1.4587172535837e-07,0,0,0.351033224942734
"Y362",1.84329146972633e-08,1.60427579364904e-07,0,1,0.291972547848017
"Y363",1.84329146972633e-08,9.45043654833869e-08,0,0,0.387764904653464
"Y364",1.84329146972633e-08,2.37660038858085e-10,49,0,1.64942933393173e-06
"Y365",1.84329146972633e-08,3.22737760114786e-12,84,0,2.87191474128909e-06
"Y366",1.84329146972633e-08,2.16811107091935e-14,569,0,4.83974363198487e-08
"Y367",1.84329146972633e-08,3.46784756026193e-08,0,0,0.0285437315005848
"Y368",1.84329146972633e-08,1.79379120930944e-07,0,0,0.854619628817036
"Y369",1.84329146972633e-08,1.00160223257832e-09,4,0,8.87344970522116e-05
"Y37",1.86782661189701e-08,5.97780218439114e-09,181,154,5.34192420059191e-13
"Y370",1.84250557173685e-08,8.65008522657026e-14,55,0,2.43551143848473e-21
"Y371",1.84250557173685e-08,1.01329579047068e-11,37,0,5.23670479813404e-16
"Y372",1.84250557173685e-08,1.37965671018845e-16,1116,0,3.95708126705472e-19
"Y373",1.84250557173685e-08,5.33876532787691e-08,0,0,0.876399106993368
"Y374",1.84250557173685e-08,3.05689794721525e-28,2707,0,1.0248540017438e-21
"Y375",1.84250557173685e-08,8.37162157522911e-28,5998,0,2.08198343692883e-23
"Y376",1.84250557173685e-08,4.81503645436665e-24,3813,0,2.82138276396986e-22
"Y377",1.84250557173685e-08,9.92907460562282e-08,0,0,0.601167519371291
"Y378",1.84250557173685e-08,1.81390647382079e-49,5760,0,6.46037346159017e-25
"Y379",1.84207928014489e-08,1.61004846007309e-07,0,0,0.00769962372016437
"Y38",1.87810991525592e-08,3.94520065010451e-10,3,0,1.5418443010709e-06
"Y380",1.84207928014489e-08,1.61200812602618e-07,0,0,0.102668277103766
"Y381",1.84207928014489e-08,2.38533294457931e-09,0,0,3.65190370435672e-05
"Y382",1.84207928014489e-08,1.20202861147731e-08,0,0,0.000366700515117499
"Y383",1.84207928014489e-08,1.25295690185844e-12,67,0,1.6864151017584e-07
"Y384",1.84207928014489e-08,5.81188190515882e-09,0,0,4.52715890022333e-06
"Y385",1.84207928014489e-08,1.87369857785945e-12,15,1,1.03924566450791e-11
"Y386",1.84207928014489e-08,1.3594358520466e-08,0,0,0.00593126486168515
"Y387",1.84207928014489e-08,3.99791429435272e-18,1683,49,1.57555384149375e-14
"Y388",1.77810905925228e-08,1.87552182677988e-07,0,0,0.00155681885836957
"Y389",1.77735310887496e-08,1.60976212460653e-11,56,1,3.61850898774087e-11
"Y39",1.90899004499871e-08,1.17037889953073e-08,0,0,0.000401246834771263
"Y390",1.77726908387111e-08,8.11731598185046e-13,49,0,6.18599147782525e-23
"Y391",1.77726908387111e-08,1.78403352851555e-10,15,0,1.80109388804984e-13
"Y392",1.77726908387111e-08,3.92694303022901e-08,11,16,0.00359827272074583
"Y4",1.90899004499871e-08,1.73928922137683e-12,420,0,2.25347660621584e-13
"Y40",1.95713330074054e-08,1.88108179240318e-08,0,0,0.000238515953679402
"Y41",1.83934566381617e-08,1.58406865032024e-12,244,1,1.40312202226315e-16
"Y42",1.84012412741314e-08,2.19778552104579e-08,0,0,0.0186360677791108
"Y43",1.97234457333059e-08,4.6413899530611e-10,69,42,3.36168707662923e-16
"Y44",1.96844271378961e-08,3.02787664066303e-07,0,1,0.346797224981172
"Y45",1.83884373505939e-08,1.58187606292297e-13,39,0,3.47282378515128e-21
"Y46",1.83934566381617e-08,2.64605834009256e-10,0,0,7.32802576472831e-23
